Time,rdy,bsy,rd,wr,ka,log,dns,cls
Jan:08:2014:17:50:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:50:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:51:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:51:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:52:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:52:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:53:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:53:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:54:26,72,6,0,3,3,0,0,0
Jan:08:2014:17:54:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:55:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:55:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:56:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:56:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:57:26,74,4,0,3,0,0,0,1
Jan:08:2014:17:57:56,74,4,0,3,0,0,0,1
Jan:08:2014:17:58:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:58:56,75,3,0,3,0,0,0,0
Jan:08:2014:17:59:26,75,3,0,3,0,0,0,0
Jan:08:2014:17:59:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:00:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:00:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:01:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:01:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:02:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:02:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:03:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:03:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:04:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:04:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:05:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:05:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:06:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:06:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:07:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:07:56,73,5,0,3,2,0,0,0
Jan:08:2014:18:08:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:08:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:09:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:09:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:10:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:10:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:11:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:11:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:12:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:12:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:13:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:13:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:14:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:14:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:15:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:15:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:16:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:16:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:17:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:17:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:18:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:18:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:19:26,75,3,0,3,0,0,0,0
Jan:08:2014:18:19:56,75,3,0,3,0,0,0,0
Jan:08:2014:18:20:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:20:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:21:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:21:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:22:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:22:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:23:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:23:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:24:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:24:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:25:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:25:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:26:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:26:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:27:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:27:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:28:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:28:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:29:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:29:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:30:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:30:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:31:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:31:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:32:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:32:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:33:27,73,5,0,3,1,0,0,1
Jan:08:2014:18:33:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:34:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:34:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:35:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:35:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:36:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:36:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:37:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:37:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:38:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:38:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:39:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:39:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:40:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:40:57,74,4,0,3,1,0,0,0
Jan:08:2014:18:41:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:41:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:42:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:42:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:43:27,74,4,0,3,1,0,0,0
Jan:08:2014:18:43:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:44:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:44:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:45:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:45:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:46:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:46:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:47:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:47:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:48:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:48:57,73,5,0,4,1,0,0,0
Jan:08:2014:18:49:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:49:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:50:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:50:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:51:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:51:57,75,3,0,3,0,0,0,0
